"","price","cleanliness_rating","room_type","dist"
"1",194.033698122935,10,"Private room",5.02296379808829
"2",344.245776017622,8,"Private room",0.488389288828984
"3",264.101422445106,9,"Private room",5.74831191515956
"4",433.529397979987,9,"Private room",0.384862012821602
"5",485.552925737586,10,"Private room",0.544738183429238
"6",552.808567478265,8,"Private room",2.13142008057136
"7",215.124317484123,10,"Private room",1.88109156437107
"8",2771.30738406018,10,"Entire home/apt",1.68680696520273
"9",1001.80441965646,9,"Entire home/apt",3.71914139865726
"10",276.521453846695,10,"Private room",3.1423614256297
"11",909.474374897476,10,"Entire home/apt",1.0099220248635
"12",319.640053429569,10,"Private room",2.18270710445159
"13",675.602840203407,8,"Entire home/apt",2.93304584329196
"14",552.808567478265,10,"Entire home/apt",1.30549393158984
"15",209.031471890891,8,"Private room",7.3045352665541
"16",368.851498605676,10,"Private room",1.03110060895927
"17",368.851498605676,10,"Private room",1.32779715743968
"18",337.918590209266,10,"Private room",1.36633423796711
"19",313.547207836337,10,"Private room",1.28975923030272
"20",447.589810887447,9,"Entire home/apt",1.05761933143645
"21",243.245143299042,10,"Private room",2.87063284380254
"22",933.845757270405,10,"Entire home/apt",1.01406642679186
"23",251.915731258641,10,"Private room",1.24708366697671
"24",377.287746350151,10,"Private room",1.16749230143493
"25",245.588545450285,10,"Private room",4.23063429670681
"26",217.702059850491,8,"Private room",4.18081473716799
"27",295.034330841516,10,"Private room",3.36601858238526
"28",295.034330841516,10,"Private room",4.12728001854418
"29",1032.97166826799,9,"Entire home/apt",2.16160761391017
"30",270.428608253462,10,"Private room",4.88547764075742
"31",524.687741663347,9,"Entire home/apt",1.12632697230557
"32",599.676610503128,9,"Entire home/apt",3.36359072469737
"33",516.017153703747,9,"Entire home/apt",1.07116834613958
"34",602.254352869496,10,"Entire home/apt",3.85629011289885
"35",504.065802732407,9,"Entire home/apt",4.07524788645374
"36",1609.91727790406,10,"Entire home/apt",2.9885887859177
"37",310.969465469969,9,"Entire home/apt",4.14708668567508
"38",202.704286082535,10,"Private room",5.61175015551668
"39",796.288050992431,10,"Entire home/apt",2.85499166902967
"40",504.065802732407,9,"Private room",6.41165737248718
"41",319.640053429569,10,"Private room",0.540353868178227
"42",614.44004405596,9,"Private room",0.495828246257032
"43",467.040048742765,10,"Private room",0.5143556615735
"44",716.378037635039,10,"Entire home/apt",3.69500542587883
"45",350.10428139573,10,"Private room",1.09786925897544
"46",319.640053429569,10,"Private room",0.384611599710627
"47",467.040048742765,10,"Private room",0.471546542280126
"48",983.291542661636,10,"Entire home/apt",1.43051105771566
"49",298.783774283505,9,"Private room",4.22420858726289
"50",196.611440489302,9,"Private room",6.19827862898727
"51",430.248634968247,10,"Entire home/apt",3.01944085314297
"52",319.640053429569,9,"Private room",0.363345441249856
"53",405.642912380194,9,"Private room",5.03649771445056
"54",334.169146767277,10,"Private room",1.15176413284378
"55",491.880111545942,9,"Private room",0.375135063554944
"56",319.640053429569,9,"Private room",0.360506805181602
"57",780.352916363977,10,"Private room",1.39557890986769
"58",355.025425913341,9,"Entire home/apt",1.48337059398804
"59",1044.68867902421,10,"Entire home/apt",1.5059239672494
"60",847.842898319781,10,"Entire home/apt",1.26732846172113
"61",373.772643123286,10,"Private room",0.975069337866992
"62",613.268342980339,9,"Entire home/apt",0.227260676317608
"63",238.323998781431,10,"Private room",5.83943815614
"64",430.248634968247,10,"Entire home/apt",3.02952221558518
"65",347.995219459612,6,"Entire home/apt",4.41681688628728
"66",330.419703325288,10,"Entire home/apt",2.56405190362026
"67",1179.66864293581,10,"Entire home/apt",0.626568325274764
"68",259.180277927495,10,"Private room",5.2414841679505
"69",277.927495137441,10,"Private room",3.83291422506462
"70",467.040048742765,9,"Entire home/apt",2.38789078083822
"71",583.741475874675,10,"Entire home/apt",2.57284332136076
"72",374.944344198908,6,"Private room",0.94452133382463
"73",372.36660183254,10,"Private room",3.89325419363755
"74",479.225739929229,10,"Shared room",1.37724299963528
"75",454.8543575563,10,"Entire home/apt",2.28494468474987
"76",206.453729524524,9,"Private room",6.79281178529689
"77",497.73861692405,10,"Private room",1.09505336514071
"78",399.550066786961,10,"Entire home/apt",9.3355189205058
"79",761.840039369156,9,"Private room",1.09118232606682
"80",317.062311063202,8,"Private room",2.63223794016304
"81",319.405713214445,10,"Private room",0.353081957803128
"82",209.031471890891,10,"Private room",4.68772516501575
"83",209.031471890891,10,"Private room",4.61247556274807
"84",640.45180793476,9,"Entire home/apt",1.7326208039228
"85",209.031471890891,10,"Private room",4.68689685387767
"86",934.08009748553,10,"Private room",1.11991504967501
"87",210.203172966513,9,"Private room",2.47889535174736
"88",221.217163077356,9,"Private room",6.0589886746647
"89",441.26262507909,10,"Private room",0.792226218144255
"90",325.498558807677,8,"Private room",0.924999602142323
"91",792.772947765566,10,"Entire home/apt",5.90207623209414
"92",213.952616408502,10,"Private room",7.01790675436861
"93",1557.19072950109,9,"Entire home/apt",0.750394577976171
"94",317.062311063202,10,"Private room",3.40089688450538
"95",319.640053429569,10,"Entire home/apt",3.4030984859495
"96",1044.68867902421,10,"Entire home/apt",3.0030686360809
"97",310.969465469969,9,"Entire home/apt",3.57140078670821
"98",295.034330841516,9,"Entire home/apt",4.6654114118221
"99",344.245776017622,7,"Entire home/apt",4.15707017259549
"100",3004.94457853912,9,"Entire home/apt",1.61529472873922
"101",539.216835001055,10,"Entire home/apt",3.78133105919903
"102",460.947203149533,10,"Private room",0.58518293169997
"103",1376.51442364024,10,"Entire home/apt",1.93070165922095
